customer_id,customer_name,email,age,gender,state,city,pincode,registration_date,income_bracket,customer_type,is_prime_member,preferred_category,acquisition_source
CUST00001,Rahul Gupta,user1@email.com,41,Female,Uttar Pradesh,Varanasi,360993,2020-07-31,3-6L,Regular,0,Sports & Fitness,Paid Ads
CUST00002,Akash Kumar,user2@email.com,43,Female,Madhya Pradesh,Gwalior,306113,2023-06-14,<3L,New,0,Automotive,Paid Ads
CUST00003,Ananya Mehta,user3@email.com,52,Male,Punjab,Ludhiana,631930,2020-10-25,<3L,VIP,0,Office Supplies,Organic Search
CUST00004,Sneha Pandey,user4@email.com,39,Male,Madhya Pradesh,Jabalpur,888565,2022-04-22,<3L,Premium,1,Grocery,Social Media
CUST00005,Meera Nair,user5@email.com,33,Female,Madhya Pradesh,Bhopal,477180,2021-06-13,<3L,New,1,Sports & Fitness,Organic Search
CUST00006,Priya Mehta,user6@email.com,53,Female,Kerala,Kollam,434368,2022-07-15,>20L,New,1,Office Supplies,Email Campaign
CUST00007,Siddharth Sharma,user7@email.com,21,Male,Telangana,Karimnagar,385740,2018-01-31,10-20L,Regular,1,Books,Social Media
CUST00008,Divya Pillai,user8@email.com,57,Male,Karnataka,Mangaluru,718813,2018-03-06,6-10L,Premium,1,Sports & Fitness,App Store
CUST00009,Rohit Shah,user9@email.com,21,Female,Punjab,Chandigarh,151844,2019-10-22,10-20L,New,0,Sports & Fitness,Paid Ads
CUST00010,Nisha Nair,user10@email.com,22,Female,Punjab,Jalandhar,378110,2022-02-01,6-10L,Regular,0,Electronics,Referral
CUST00011,Varun Banerjee,user11@email.com,49,Female,West Bengal,Asansol,181159,2021-05-05,3-6L,VIP,0,Books,Email Campaign
CUST00012,Manoj Rao,user12@email.com,56,Male,Bihar,Gaya,972705,2021-02-05,<3L,Regular,0,Automotive,Organic Search
CUST00013,Siddharth Malhotra,user13@email.com,31,Female,Gujarat,Vadodara,643829,2019-06-19,3-6L,New,1,Office Supplies,Paid Ads
CUST00014,Sunita Kumar,user14@email.com,47,Female,Uttar Pradesh,Kanpur,597996,2021-10-28,3-6L,Regular,1,Home & Kitchen,App Store
CUST00015,Rahul Gupta,user15@email.com,39,Male,Bihar,Bhagalpur,833263,2020-11-14,3-6L,New,1,Sports & Fitness,Referral
CUST00016,Mihir Sharma,user16@email.com,47,Female,Madhya Pradesh,Bhopal,932513,2018-03-23,6-10L,New,0,Automotive,Organic Search
CUST00017,Varun Pillai,user17@email.com,40,Female,Uttar Pradesh,Agra,651293,2020-04-17,3-6L,Premium,1,Electronics,Referral
CUST00018,Divya Mishra,user18@email.com,38,Female,Bihar,Muzaffarpur,618487,2020-10-07,<3L,Premium,0,Sports & Fitness,Organic Search
CUST00019,Divya Joshi,user19@email.com,30,Male,Punjab,Jalandhar,925479,2020-08-22,3-6L,Regular,0,Fashion,Social Media
CUST00020,Ishaan Mishra,user20@email.com,56,Male,Uttar Pradesh,Varanasi,714949,2022-06-14,10-20L,Regular,1,Sports & Fitness,App Store
CUST00021,Ishaan Nair,user21@email.com,33,Male,Rajasthan,Jaipur,437318,2023-04-01,<3L,Regular,0,Automotive,Referral
CUST00022,Sneha Sharma,user22@email.com,34,Female,Telangana,Warangal,451273,2022-03-21,6-10L,Regular,0,Automotive,Social Media
CUST00023,Amit Shah,user23@email.com,22,Male,Delhi,New Delhi,256758,2020-07-10,3-6L,Premium,1,Beauty & Health,Paid Ads
CUST00024,Priya Nair,user24@email.com,24,Male,Uttar Pradesh,Kanpur,671054,2021-09-17,>20L,Premium,0,Toys & Games,Social Media
CUST00025,Sanjay Sharma,user25@email.com,59,Male,Karnataka,Hubli,696526,2021-06-10,3-6L,Regular,0,Grocery,Social Media
CUST00026,Isha Rao,user26@email.com,37,Male,Kerala,Kozhikode,318158,2023-11-12,3-6L,Premium,0,Books,Organic Search
CUST00027,Siddharth Banerjee,user27@email.com,47,Female,Punjab,Jalandhar,712533,2018-08-10,6-10L,Regular,0,Fashion,Organic Search
CUST00028,Tanvi Agarwal,user28@email.com,32,Male,Andhra Pradesh,Tirupati,826395,2021-05-08,6-10L,Premium,1,Toys & Games,Paid Ads
CUST00029,Varun Agarwal,user29@email.com,18,Male,Bihar,Gaya,292899,2022-03-11,3-6L,Regular,1,Home & Kitchen,Organic Search
CUST00030,Akash Singh,user30@email.com,25,Female,Telangana,Warangal,989618,2018-04-22,3-6L,Regular,1,Sports & Fitness,Referral
CUST00031,Aditi Mishra,user31@email.com,20,Male,Uttar Pradesh,Agra,741535,2022-10-17,10-20L,VIP,0,Sports & Fitness,Social Media
CUST00032,Sneha Iyer,user32@email.com,50,Male,Gujarat,Rajkot,445260,2019-10-22,<3L,Premium,0,Beauty & Health,App Store
CUST00033,Ishaan Pillai,user33@email.com,40,Male,Maharashtra,Nashik,685158,2018-12-19,6-10L,VIP,1,Toys & Games,Paid Ads
CUST00034,Yash Patel,user34@email.com,59,Female,Punjab,Jalandhar,982515,2019-03-23,<3L,Regular,0,Fashion,Referral
